state	name	total.pop	white	black	hispanic	asian
TX	"texas,blanco"	10497	79.4	2.6	18.2	0.5
TX	"texas,borden"	641	84.1	1.6	14.8	0.2
TX	"texas,bosque"	18212	80.7	3.4	16.1	0.2
TX	"texas,bowie"	92565	66.3	26.3	6.5	0.8
TX	"texas,brazoria"	313166	53.2	14.7	27.7	5.5
TX	"texas,brazos"	194851	59.1	13.3	23.3	5.2
TX	"texas,brewster"	9232	54.3	4	42.4	0.7
TX	"texas,briscoe"	1637	71	4.9	25.1	0
TX	"texas,brooks"	7223	7.9	1.9	91.2	0.3
TX	"texas,brown"	38106	74.7	5.7	19.6	0.4
TX	"texas,burleson"	17187	68.1	14.1	18.4	0.2
TX	"texas,burnet"	42750	76.1	3.6	20.2	0.5
TX	"texas,caldwell"	38066	44.2	9.3	47.1	0.9
TX	"texas,calhoun"	21381	45.8	4.7	46.4	4.4
TX	"texas,callahan"	13544	89.1	2.9	7.6	0.4
TX	"texas,cameron"	406220	10.7	2.1	88.1	0.7
TX	"texas,camp"	12401	58.9	20.2	21.4	0.5
TX	"texas,carson"	6182	88.5	2.3	8.5	0.3
TX	"texas,cass"	30464	77.2	18.8	3.5	0.3
TX	"texas,castro"	8062	37.3	3.6	59.9	0.4
TX	"texas,chambers"	35096	70.6	10.3	18.9	1
TX	"texas,cherokee"	50845	62.7	16.9	20.6	0.5
TX	"texas,childress"	7041	61.5	11.3	26.8	0.7
TX	"texas,clay"	10752	92.5	2.2	4.3	0.3
TX	"texas,cochran"	3127	42.5	6.7	52.9	0.2
TX	"texas,coke"	3320	79.8	2.2	18.1	0.2
TX	"texas,coleman"	8895	80.1	4.2	16	0.4
TX	"texas,collin"	782341	63.1	11.4	14.7	11.2
TX	"texas,collingsworth"	3057	63.4	8.4	30	0.1
TX	"texas,colorado"	20874	59.9	15	26.1	0.4
TX	"texas,comal"	108472	71.3	3.8	24.9	0.8
TX	"texas,comanche"	13974	72.6	2	25.8	0.3
TX	"texas,concho"	4087	44.3	3.8	53.2	0.3
TX	"texas,cooke"	38437	78.7	4.9	15.6	0.8
TX	"texas,coryell"	75388	62	20.9	15.9	1.9
TX	"texas,cottle"	1505	69.3	10.9	21	0
TX	"texas,crane"	4375	40.3	5.1	55.1	0.4
TX	"texas,crockett"	3719	35.3	2.5	63.2	0.3
TX	"texas,crosby"	6059	43.3	5.5	52.3	0.1
TX	"texas,culberson"	2398	21	3.4	76.2	1
TX	"texas,dallam"	6703	55.6	4.9	40.5	0.6
TX	"texas,dallas"	2368139	33.1	25.1	38.3	5
TX	"texas,dawson"	13833	39.1	8.8	53.4	0.4
TX	"texas,deaf smith"	19372	30.7	3.6	67.3	0.3
TX	"texas,delta"	5231	83.2	10.1	5.5	0.6
TX	"texas,denton"	662614	64.4	11.3	18.2	6.6
TX	"texas,de witt"	NA	NA	NA	NA	NA
TX	"texas,dickens"	2444	65.1	5.7	29	0.9
TX	"texas,dimmit"	9996	12.2	2.6	86.2	0.6
TX	"texas,donley"	3677	85.3	6.3	8.4	0.2
TX	"texas,duval"	11782	10.2	2.6	88.5	0.2
TX	"texas,eastland"	18583	82.2	3.4	14.4	0.3
TX	"texas,ector"	137130	41.1	7	52.7	0.8
TX	"texas,edwards"	2002	47.3	1.6	51.3	0.3
TX	"texas,ellis"	149610	65.5	11.2	23.5	0.6
TX	"texas,el paso"	800647	13.1	5.6	82.2	1
TX	"texas,erath"	37890	77.5	2.9	19.2	0.7
TX	"texas,falls"	17866	52.5	27.2	20.8	0.3
TX	"texas,fannin"	33915	80.9	8.9	9.5	0.4
TX	"texas,fayette"	24554	73.5	8	18.7	0.3
TX	"texas,fisher"	3974	70.4	5.4	25.1	0.2
TX	"texas,floyd"	6446	43.1	4.8	52.9	0.2
TX	"texas,foard"	1336	81.4	4.7	14	0.4
TX	"texas,fort bend"	585375	36.2	24.4	23.7	17
TX	"texas,franklin"	10605	81.1	5.7	12.6	0.5
TX	"texas,freestone"	19816	68.9	17.7	13.6	0.3
TX	"texas,frio"	17217	16.2	5.3	77.8	2.1
TX	"texas,gaines"	17526	60.6	3.8	36.6	0.3
TX	"texas,galveston:main"	NA	NA	NA	NA	NA
TX	"texas,galveston:spit"	NA	NA	NA	NA	NA
TX	"texas,garza"	6461	45.8	7.7	47.1	0.1
TX	"texas,gillespie"	24837	78.4	1.6	20	0.4
TX	"texas,glasscock"	1226	67.3	2.4	30.8	0.1
TX	"texas,goliad"	7210	60.2	7.1	34.1	0.2
TX	"texas,gonzales"	19807	44.6	9.6	47.2	0.4
TX	"texas,gray"	22535	69.1	7.3	23.8	0.4
TX	"texas,grayson"	120877	78.7	8.5	11.3	0.9
TX	"texas,gregg"	121730	60.8	22.3	16.4	1.1
TX	"texas,grimes"	26604	60.6	18.7	21.2	0.2
TX	"texas,guadalupe"	131533	54.8	9.5	35.6	1.4
TX	"texas,hale"	36273	37.6	8.3	55.9	0.4
TX	"texas,hall"	3353	59.6	8.8	32.4	0.1
TX	"texas,hamilton"	8517	88	1.6	10.1	0.4
TX	"texas,hansford"	5613	55	2.9	43.3	0.3
TX	"texas,hardeman"	4139	71	8.5	21.5	0.3
TX	"texas,hardin"	54635	88	7.2	4.4	0.5
TX	"texas,harris"	4092459	33	22.2	40.8	6.2
TX	"texas,harrison"	65631	65	23.6	11.1	0.5
TX	"texas,hartley"	6062	67.8	8	23.9	0.5
TX	"texas,haskell"	5899	70.3	6.3	24	0.5
TX	"texas,hays"	157107	58.6	6.4	35.3	1.2
TX	"texas,hemphill"	3807	69.8	2	28.5	0.5
TX	"texas,henderson"	78532	80.9	8	10.8	0.4
TX	"texas,hidalgo"	774769	7.8	1.9	90.6	1
TX	"texas,hill"	35089	73.6	8.4	18.3	0.3
TX	"texas,hockley"	22935	51.4	6.1	43.6	0.3
TX	"texas,hood"	51182	87.1	2	10.2	0.6
TX	"texas,hopkins"	35161	75.4	9.1	15.3	0.5
TX	"texas,houston"	23732	62.4	27.5	10	0.4
TX	"texas,howard"	35012	53.7	8.3	37.9	0.8
TX	"texas,hudspeth"	3476	18.1	3.5	79.6	0.5
TX	"texas,hunt"	86129	74.8	10.6	13.6	1.1
TX	"texas,hutchinson"	22150	74.4	5.3	19.8	0.4
TX	"texas,irion"	1599	72.1	2.8	25.5	0.2
TX	"texas,jack"	9044	80.6	4.8	14.2	0.3
TX	"texas,jackson"	14075	62.9	9.1	29	0.4
TX	"texas,jasper"	35710	75.4	18.2	5.6	0.6
TX	"texas,jeff davis"	2342	63.6	3	33.7	0.3
TX	"texas,jefferson"	252273	44.6	35.8	17	3.4
TX	"texas,jim hogg"	5300	6.3	1.9	92.6	0.3
TX	"texas,jim wells"	40838	19.7	2.2	79	0.4
TX	"texas,johnson"	150934	76.6	4.8	18.1	0.7
TX	"texas,jones"	20202	62.1	13.3	24.8	0.4
TX	"texas,karnes"	14824	40.2	10.6	49.8	0.2
TX	"texas,kaufman"	103350	70	12.7	17	0.9
TX	"texas,kendall"	33410	77.1	2.4	20.4	0.6
TX	"texas,kenedy"	416	20.7	4.1	76.7	0.2
TX	"texas,kent"	808	82.8	2.4	14.9	0
TX	"texas,kerr"	49625	72.2	3.9	24	0.8
TX	"texas,kimble"	4607	74.9	1.2	23.4	0.4
TX	"texas,king"	286	84.6	1.4	13.6	0
TX	"texas,kinney"	3598	41.6	3.5	55.7	0.3
TX	"texas,kleberg"	32061	23.3	6.1	70.2	2.3
TX	"texas,knox"	3719	63.1	8.7	29.6	0.2
TX	"texas,lamar"	49793	76.1	16.1	6.5	0.6
TX	"texas,lamb"	13977	43.1	6.6	51.7	0.1
TX	"texas,lampasas"	19677	75.4	6.4	17.5	1
TX	"texas,la salle"	6886	13	1.7	86	0.1
TX	"texas,lavaca"	19263	76.2	8.5	16	0.3
TX	"texas,lee"	16612	65	12.8	22.4	0.3
TX	"texas,leon"	16801	77.8	8.6	13.5	0.5
TX	"texas,liberty"	75643	69.2	12.8	18	0.5
TX	"texas,limestone"	23384	61.7	19.5	19.1	0.4
TX	"texas,lipscomb"	3302	67	3	30.5	0.3
TX	"texas,live oak"	11531	59	5.9	35.2	0.5
TX	"texas,llano"	19301	89.6	2	8	0.4
TX	"texas,loving"	82	73.2	7.3	22	0
TX	"texas,lubbock"	278831	57.3	10	31.9	2.1
TX	"texas,lynn"	5915	50.4	4.5	46.4	0.1
TX	"texas,mcculloch"	8283	67.2	3.7	29.9	0.4
TX	"texas,mclennan"	234906	58.9	17.3	23.6	1.4
TX	"texas,mcmullen"	707	61.1	3.7	36.9	0.4
TX	"texas,madison"	13664	58.8	21.6	19.7	0.6
TX	"texas,marion"	10546	71.7	24.2	3.1	0.5
TX	"texas,martin"	4799	53.7	3.4	43.5	0.3
TX	"texas,mason"	4012	77.1	1.4	21.5	0.2
TX	"texas,matagorda"	36702	47.4	13.8	38.3	2
TX	"texas,maverick"	54258	2.9	1.3	95.7	0.3
TX	"texas,medina"	46006	46.5	4.4	49.7	0.6
TX	"texas,menard"	2242	63.6	2.2	35.2	0.1
TX	"texas,midland"	136872	53.2	9	37.7	1.3
TX	"texas,milam"	24757	65.5	11.8	23.3	0.4
TX	"texas,mills"	4936	81.5	2	16.6	0.2
TX	"texas,mitchell"	9403	50.5	12.9	37	0.3
TX	"texas,montague"	19719	88	1.9	9.8	0.3
TX	"texas,montgomery"	455746	71.2	6.6	20.8	2.1
TX	"texas,moore"	21904	38.2	3.7	52.7	6.1
TX	"texas,morris"	12934	66.8	25	7.8	0.3
TX	"texas,motley"	1210	83.7	3.1	13.5	0
TX	"texas,nacogdoches"	64524	61.5	20.2	17.6	1.2
TX	"texas,navarro"	47735	59.9	16.1	23.8	0.5
TX	"texas,newton"	14445	74.9	21.5	2.8	0.4
TX	"texas,nolan"	15216	60.4	7	33.5	0.4
TX	"texas,nueces"	340223	32.9	6.4	60.6	1.7
TX	"texas,ochiltree"	10223	49.5	2.7	48.7	0.3
TX	"texas,oldham"	2052	82.8	4.5	11.8	0.8
TX	"texas,orange"	81837	83	10.3	5.8	1
TX	"texas,palo pinto"	28111	78.1	4	17.7	0.5
TX	"texas,panola"	23796	73.6	18	8.3	0.3
TX	"texas,parker"	116927	85.3	3.5	10.6	0.5
TX	"texas,parmer"	10269	38.4	3.3	60	0.2
TX	"texas,pecos"	15507	27.9	5.8	67.3	0.5
TX	"texas,polk"	45413	72.3	13.2	13.1	0.4
TX	"texas,potter"	121073	49	13.3	35.3	4
TX	"texas,presidio"	7818	14.5	2.5	83.4	1
TX	"texas,rains"	10914	87.5	3.9	7.7	0.5
TX	"texas,randall"	120725	78.2	4.6	16.4	1.4
TX	"texas,reagan"	3367	36.2	3.9	60.9	0.2
TX	"texas,real"	3309	72.5	2.6	24.6	0.1
TX	"texas,red river"	12860	73.9	19.2	6.6	0.2
TX	"texas,reeves"	13783	19.5	6.5	74.2	0.9
TX	"texas,refugio"	7383	45.2	8.5	47.2	0.4
TX	"texas,roberts"	929	90.5	2.2	8	0.2
TX	"texas,robertson"	16622	59.1	23.5	18	0.6
TX	"texas,rockwall"	78337	74.1	7.9	15.9	2.4
TX	"texas,runnels"	10501	65.1	3.5	32	0.2
TX	"texas,rusk"	53330	66.1	19.7	14.3	0.4
TX	"texas,sabine"	10834	87.5	8.8	3.2	0.3
TX	"texas,san augustine"	8865	69.7	24.1	6	0.3
TX	"texas,san jacinto"	26384	76.6	12.2	10.9	0.5
TX	"texas,san patricio"	64804	42.2	4.1	54.4	0.8
TX	"texas,san saba"	6131	67.4	4.9	28	0.2
TX	"texas,schleicher"	3461	54.1	3.9	44.4	0.1
TX	"texas,scurry"	16921	57.8	7	36.3	0.3
TX	"texas,shackelford"	3378	87.7	2.7	10.1	0.3
TX	"texas,shelby"	25448	65	18.8	16.4	0.3
TX	"texas,sherman"	3034	58.1	2	40.4	0.2
TX	"texas,smith"	209714	62.1	19.9	17.2	1.2
TX	"texas,somervell"	8490	77.7	3.4	19.2	0.6
TX	"texas,starr"	60968	4	0.6	95.7	0.2
TX	"texas,stephens"	9630	75.7	3.8	20.9	0.3
TX	"texas,sterling"	1143	64.1	3.1	31.9	0
TX	"texas,stonewall"	1490	80.9	4.6	14	0.9
TX	"texas,sutton"	4128	39.7	1.9	59.6	0.2
TX	"texas,swisher"	7854	51.2	9.1	40.1	0.1
TX	"texas,tarrant"	1809034	51.8	17.9	26.7	4.7
TX	"texas,taylor"	131506	67	10.6	22.1	1.6
TX	"texas,terrell"	984	50.3	2.2	47.5	0.4
TX	"texas,terry"	12651	45.4	7.3	49.1	0.2
TX	"texas,throckmorton"	1641	88.5	1.5	9.3	0.4
TX	"texas,titus"	32334	49.2	11.9	39.6	0.7
TX	"texas,tom green"	110224	57.9	6.9	35.7	1
TX	"texas,travis"	1024266	50.5	11.8	33.5	5.8
TX	"texas,trinity"	14585	81	10.9	7.7	0.3
TX	"texas,tyler"	21766	80.4	12.2	6.8	0.2
TX	"texas,upshur"	39309	82.1	10.8	6.6	0.4
TX	"texas,upton"	3355	48	3.9	49	0
TX	"texas,uvalde"	26405	29	3.6	69.3	0.5
TX	"texas,val verde"	48879	17.5	3.6	80.2	0.5
TX	"texas,van zandt"	52579	85.8	4.6	9.2	0.3
TX	"texas,victoria"	86793	47.9	8.8	43.9	1
TX	"texas,walker"	67861	58.5	24.5	16.8	0.9
TX	"texas,waller"	43205	44.6	27.1	29	0.5
TX	"texas,ward"	10658	46.2	8.2	47.6	0.3
TX	"texas,washington"	33718	66.4	19.2	13.8	1.3
TX	"texas,webb"	250304	3.3	1.9	95.7	0.6
TX	"texas,wharton"	41280	47.7	15.9	37.4	0.4
TX	"texas,wheeler"	5410	71.1	4.4	24.8	0.4
TX	"texas,wichita"	131500	68.4	13.4	16.6	2
TX	"texas,wilbarger"	13535	63.4	10.6	25.9	0.7
TX	"texas,willacy"	22134	10.1	4	87.2	0.6
TX	"texas,williamson"	422679	63.8	9.4	23.2	4.8
TX	"texas,wilson"	42918	58.7	3.8	38.2	0.4
TX	"texas,winkler"	7110	42.5	5.3	53.8	0.2
TX	"texas,wise"	59127	79.7	3.2	17.1	0.4
TX	"texas,wood"	41964	84.9	6.1	8.5	0.4
TX	"texas,yoakum"	7879	39.2	3.6	58.7	0.4
TX	"texas,young"	18550	80.6	3.2	16.4	0.4
TX	"texas,zapata"	14018	6.1	0.7	93.3	0.2
TX	"texas,zavala"	11677	5.5	2.2	93.9	0
UT	"utah,beaver"	6629	86	1.6	10.8	1.1
UT	"utah,box elder"	49975	88.3	2.6	8.3	0.9
UT	"utah,cache"	112656	85.5	2.5	10	1.9
UT	"utah,carbon"	21403	84.1	2.8	12.4	0.6
UT	"utah,daggett"	1059	94.4	1.4	3.1	0.4
UT	"utah,davis"	306479	85.8	3.9	8.4	1.8
UT	"utah,duchesne"	18607	87.1	3.1	6	0.3
UT	"utah,emery"	10976	92.1	1.1	6	0.3
UT	"utah,garfield"	5172	91.6	1.3	4.5	1.2
UT	"utah,grand"	9225	84.1	2.3	9.6	0.8
UT	"utah,iron"	46163	87.1	2.8	7.7	0.8
UT	"utah,juab"	10246	94	1.7	3.7	0.2
UT	"utah,kane"	7125	93.2	1.6	3.7	0.4
UT	"utah,millard"	12503	84.7	1.6	12.8	0.6
UT	"utah,morgan"	9469	96.1	1.1	2.4	0.4
UT	"utah,piute"	1556	91.2	1.5	7	0.4
UT	"utah,rich"	2264	94.1	1.2	4.2	0.3
UT	"utah,salt lake"	1029655	74	4.7	17.1	3.3
UT	"utah,san juan"	14746	43.9	2.5	4.4	0.3
UT	"utah,sanpete"	27822	86.7	2.6	9.4	0.5
UT	"utah,sevier"	20802	92.9	1.7	4.5	0.3
UT	"utah,summit"	36324	85.4	2.1	11.5	1.2
UT	"utah,tooele"	58218	84.5	3.5	11.4	0.6
UT	"utah,uintah"	32588	82.8	2.7	7.1	0.5
UT	"utah,utah"	516564	84.2	3.3	10.8	1.4
UT	"utah,wasatch"	23530	84.2	1.7	13.5	0.8
UT	"utah,washington"	138115	85.6	2.9	9.8	0.7
UT	"utah,wayne"	2778	93.4	1.7	4.2	0.7
UT	"utah,weber"	231236	78.1	4.3	16.7	1.3
VT	"vermont,addison"	36821	94.1	2.5	1.9	1.4
VT	"vermont,bennington"	37125	95.7	2.1	1.4	0.7
VT	"vermont,caledonia"	31227	95.8	1.9	1.1	0.8
VT	"vermont,chittenden"	156545	91.3	4	1.8	2.8
VT	"vermont,essex"	6306	96.6	1.6	0.9	0.3
VT	"vermont,franklin"	47746	94.9	2.6	1.2	0.5
VT	"vermont,grand isle"	6970	94.7	3.2	1.1	0.3
VT	"vermont,lamoille"	24475	95.7	2.1	1.3	0.5
VT	"vermont,orange"	28936	96.4	1.9	1	0.5
VT	"vermont,orleans"	27231	96	2.2	1.1	0.3
VT	"vermont,rutland"	61642	96.3	1.8	1.1	0.6
VT	"vermont,washington"	59534	94.9	2.5	1.7	0.8
VT	"vermont,windham"	44513	94.1	2.9	1.8	1
VT	"vermont,windsor"	56670	95.5	2.2	1.2	0.9
VA	"virginia,accomack:main"	NA	NA	NA	NA	NA
VA	"virginia,accomack:chincoteague"	NA	NA	NA	NA	NA
VA	"virginia,albemarle"	98970	77.9	12.1	5.5	4.7
VA	"virginia,alleghany"	16250	92.6	6	1.1	0.2
VA	"virginia,amelia"	12690	72.8	24.5	2.3	0.2
VA	"virginia,amherst"	32353	75.7	21.1	1.9	0.5
VA	"virginia,appomattox"	14973	76.7	21.7	1.1	0.2
VA	"virginia,arlington"	207627	64	12.2	15.1	9.6
VA	"virginia,augusta"	73750	92.2	5.2	2.1	0.5
VA	"virginia,bath"	4731	92.2	5.5	2.1	0.1
VA	"virginia,bedford"	74898	89.03729072	8.162709285	1.649843788	0.975078106
VA	"virginia,bland"	6824	95.2	4.1	0.6	0.3
VA	"virginia,botetourt"	33148	94.2	4.1	1.1	0.5
VA	"virginia,brunswick"	17434	39.8	58.3	1.7	0.3
VA	"virginia,buchanan"	24098	96.3	3	0.4	0.2
VA	"virginia,buckingham"	17146	61.2	36.7	1.7	0.4
VA	"virginia,campbell"	54842	81.3	15.9	1.7	1
VA	"virginia,caroline"	28545	63.6	32.3	3.4	0.6
VA	"virginia,carroll"	30042	95.9	1.2	2.6	0.2
VA	"virginia,charles city"	7256	40.5	51	1.2	0.3
VA	"virginia,charlotte"	12586	66.6	31.2	1.9	0.2
VA	"virginia,chesterfield"	316236	65.4	24.6	7.2	3.3
VA	"virginia,clarke"	14034	88.3	7.3	3.5	0.9
VA	"virginia,craig"	5190	98.3	0.8	0.7	0.2
VA	"virginia,culpeper"	46689	71.7	18.6	8.9	1.3
VA	"virginia,cumberland"	10052	63.2	34.5	1.8	0.3
VA	"virginia,dickenson"	15903	98.4	0.8	0.5	0.1
VA	"virginia,dinwiddie"	28001	62.9	34.3	2.4	0.4
VA	"virginia,essex"	11151	56	40.2	3.1	0.8
VA	"virginia,fairfax"	1104291	54.73895069	13.11009073	15.60408679	17.45300197
VA	"virginia,fauquier"	65203	81.9	10.6	6.4	1.3
VA	"virginia,floyd"	15279	94.1	2.9	2.7	0.2
VA	"virginia,fluvanna"	25691	79.1	17.5	3	0.6
VA	"virginia,franklin"	64741	80.95763427	15.94841291	2.380696931	0.43976769
VA	"virginia,frederick"	78305	86.3	6.1	6.6	1.2
VA	"virginia,giles"	17286	95.9	2.5	1.2	0.3
VA	"virginia,gloucester"	36858	85.7	11	2.5	0.8
VA	"virginia,goochland"	21717	76.4	20.5	2.1	1
VA	"virginia,grayson"	15533	94.2	2.9	2.7	0.1
VA	"virginia,greene"	18403	85.8	8.6	4.2	1.4
VA	"virginia,greensville"	12243	37.8	60.6	1.4	0.3
VA	"virginia,halifax"	36241	60.2	37.8	1.6	0.4
VA	"virginia,hanover"	99863	85.5	10.8	2.1	1.4
VA	"virginia,henrico"	306935	56.9	31.9	4.9	6.5
VA	"virginia,henry"	54151	71.5	23.4	4.7	0.4
VA	"virginia,highland"	2321	98.4	0.5	0.8	0.2
VA	"virginia,isle of wight"	35270	70.8	26.5	1.9	0.8
VA	"virginia,james city"	67009	77.7	15.7	4.5	2.2
VA	"virginia,king and queen"	6945	65.5	30.2	2.6	0.2
VA	"virginia,king george"	23584	74.6	20.8	3.3	1.2
VA	"virginia,king william"	15935	76	20	2	0.7
VA	"virginia,lancaster"	11391	69.6	28.9	1	0.6
VA	"virginia,lee"	25587	93.4	4.6	1.6	0.2
VA	"virginia,loudoun"	312311	62.4	11.3	12.4	14.7
VA	"virginia,louisa"	33153	77.1	20	2.3	0.5
VA	"virginia,lunenburg"	12914	59.9	36.4	3.6	0.2
VA	"virginia,madison"	13308	85.6	12	1.8	0.6
VA	"virginia,mathews"	8978	87.3	11.1	1.2	0.3
VA	"virginia,mecklenburg"	32727	58.7	38.3	2.5	0.7
VA	"virginia,middlesex"	10959	78.5	19.6	1.5	0.3
VA	"virginia,montgomery"	94392	85.9	6	2.7	5.4
VA	"virginia,suffolk"	84585	50.9	45	2.9	1.6
VA	"virginia,nelson"	15020	81.8	14.8	3.1	0.5
VA	"virginia,new kent"	18429	80.3	15.8	2.1	0.9
VA	"virginia,northampton"	12389	54.5	38	7.1	0.7
VA	"virginia,northumberland"	12330	70.1	26.5	3.1	0.3
VA	"virginia,nottoway"	15853	55.5	40.6	3.8	0.3
VA	"virginia,orange"	33481	80.7	15.2	3.4	0.7
VA	"virginia,page"	24042	95.1	3.1	1.6	0.3
VA	"virginia,patrick"	18490	90.2	7	2.4	0.2
VA	"virginia,pittsylvania"	63506	74.4	23.2	2.1	0.3
VA	"virginia,powhatan"	28046	82.8	14.8	1.8	0.5
VA	"virginia,prince edward"	23368	62.2	34.8	2.2	0.9
VA	"virginia,prince george"	35725	58.3	34.8	5.8	1.5
VA	"virginia,prince william"	402002	48.7	25.3	20.3	7.5
VA	"virginia,pulaski"	34872	91.7	6.5	1.2	0.5
VA	"virginia,rappahannock"	7373	90.2	6	3.1	0.5
VA	"virginia,richmond"	213468	40.10140255	51.98529897	6.265319392	2.217633556
VA	"virginia,roanoke"	189408	74.92183224	19.25358591	3.841789154	2.238938165
VA	"virginia,rockbridge"	22307	93.8	4.1	1.3	0.5
VA	"virginia,rockingham"	76314	91.3	3.1	5.3	0.6
VA	"virginia,russell"	28897	97.4	1.4	1	0.2
VA	"virginia,scott"	23177	97.4	1.2	1	0.2
VA	"virginia,shenandoah"	41993	90.2	3.4	6.1	0.5
VA	"virginia,smyth"	32208	95.1	2.9	1.6	0.3
VA	"virginia,southampton"	18570	60	38.6	1.1	0.2
VA	"virginia,spotsylvania"	122397	72	18.6	7.6	2.3
VA	"virginia,stafford"	128961	67.8	20.9	9.2	2.8
VA	"virginia,surry"	7058	50.8	47.8	1.2	0.3
VA	"virginia,sussex"	12087	38.6	58.9	2.2	0.4
VA	"virginia,tazewell"	45078	94.7	3.9	0.7	0.6
VA	"virginia,warren"	37575	88.7	6.8	3.5	1
VA	"virginia,washington"	54876	96.2	2	1.3	0.4
VA	"virginia,westmoreland"	17454	63.5	30.3	5.7	0.6
VA	"virginia,wise"	41452	92.4	6.1	1.1	0.3
VA	"virginia,wythe"	29235	94.6	4	1	0.4
VA	"virginia,york"	65464	74	16.8	4.4	4.9
VA	"virginia,hampton"	137436	41	53.3	4.5	2.2
VA	"virginia,newport news"	180719	46	44.9	7.5	2.7
VA	"virginia,norfolk"	242803	44.3	46.7	6.6	3.3
VA	"virginia,virginia beach"	437994	64.5	23.7	6.6	6.1
WA	"washington,adams"	18728	38.8	3.4	59.3	0.7
WA	"washington,asotin"	21623	92.6	2.8	3	0.5
WA	"washington,benton"	175177	74.5	4.8	18.7	2.7
WA	"washington,chelan"	72453	70.7	3.1	25.8	0.8
WA	"washington,clallam"	71404	84.6	4.6	5.1	1.4
WA	"washington,clark"	425363	81.8	6	7.6	4.1
WA	"washington,columbia"	4078	89.5	3	6.2	0.6
WA	"washington,cowlitz"	102410	85.8	4.4	7.8	1.5
WA	"washington,douglas"	38431	67.8	3	28.7	0.7
WA	"washington,ferry"	7551	75	5.1	3.4	0.7
WA	"washington,franklin"	78163	43.2	5	51.2	1.8
WA	"washington,garfield"	2266	92.8	1.9	4	1.7
WA	"washington,grant"	89120	57.3	4.6	38.3	0.9
WA	"washington,grays harbor"	72797	81.4	5	8.6	1.4
WA	"washington,island"	78506	83.1	6.7	5.5	4.4
WA	"washington,jefferson"	29872	89.3	4.2	2.8	1.6
WA	"washington,king"	1931249	64.8	11.2	8.9	14.6
WA	"washington,kitsap"	251133	79.1	8.4	6.2	4.9
WA	"washington,kittitas"	40915	86.1	3.9	7.6	2
WA	"washington,klickitat"	20318	83.8	3.5	10.7	0.6
WA	"washington,lewis"	75455	86	3.8	8.7	0.9
WA	"washington,lincoln"	10570	93.6	2.5	2.3	0.4
WA	"washington,mason"	60699	82.9	5.2	8	1.2
WA	"washington,okanogan"	41120	68.3	3.9	17.6	0.6
WA	"washington,pacific"	20920	84.6	3.7	8	2
WA	"washington,pend oreille"	13001	89.8	3.3	3	0.6
WA	"washington,pierce:main"	NA	NA	NA	NA	NA
WA	"washington,pierce:penrose"	NA	NA	NA	NA	NA
WA	"washington,san juan:lopez island"	NA	NA	NA	NA	NA
WA	"washington,san juan:orcas island"	NA	NA	NA	NA	NA
WA	"washington,san juan:san juan island"	NA	NA	NA	NA	NA
WA	"washington,skagit"	116901	76.7	3.9	16.9	1.8
WA	"washington,skamania"	11066	89.6	3.4	5	0.9
WA	"washington,snohomish"	713335	74.3	7.1	9	8.9
WA	"washington,spokane"	471221	86.7	5.5	4.5	2.1
WA	"washington,stevens"	43531	87.9	3.7	2.7	0.5
WA	"washington,thurston"	252264	78.9	8	7.1	5.2
WA	"washington,wahkiakum"	3978	92.5	3.3	2.7	0.6
WA	"washington,walla walla"	58781	74.2	4.9	19.7	1.3
WA	"washington,whatcom"	201140	81.9	4.7	7.8	3.5
WA	"washington,whitman"	44776	82.1	5.3	4.6	7.8
WA	"washington,yakima"	243231	47.7	4.7	45	1.1
WV	"west virginia,barbour"	16589	96.5	2.2	0.6	0.2
WV	"west virginia,berkeley"	104169	85.8	9.8	3.8	0.8
WV	"west virginia,boone"	24629	98.3	1.1	0.4	0.1
WV	"west virginia,braxton"	14523	97.8	1.3	0.5	0.2
WV	"west virginia,brooke"	24069	96.6	2.3	0.7	0.4
WV	"west virginia,cabell"	96319	90.9	6.9	1.1	1
WV	"west virginia,calhoun"	7627	97.9	0.9	0.7	0.2
WV	"west virginia,clay"	9386	98.5	0.9	0.4	0.1
WV	"west virginia,doddridge"	8202	96.6	2.5	0.5	0.2
WV	"west virginia,fayette"	46039	92.9	6	0.9	0.2
WV	"west virginia,gilmer"	8693	80	14	5.7	0.4
WV	"west virginia,grant"	11937	97.3	1.5	1	0.2
WV	"west virginia,greenbrier"	35480	93.9	4.3	1.2	0.4
WV	"west virginia,hampshire"	23964	96.6	2.1	1	0.2
WV	"west virginia,hancock"	30676	95	3.6	1	0.3
WV	"west virginia,hardy"	14025	92.2	3.5	3.4	1
WV	"west virginia,harrison"	69099	95	3.2	1.3	0.5
WV	"west virginia,jackson"	29211	97.8	1.2	0.6	0.3
WV	"west virginia,jefferson"	53498	85.2	9.1	4.7	1.2
WV	"west virginia,kanawha"	193063	88.6	9.3	0.9	1
WV	"west virginia,lewis"	16372	97.5	1.4	0.6	0.3
WV	"west virginia,lincoln"	21720	98.7	0.7	0.4	0.1
WV	"west virginia,logan"	36743	96	2.9	0.7	0.3
WV	"west virginia,mcdowell"	22113	88.8	10.6	0.4	0.1
WV	"west virginia,marion"	56418	93.7	4.7	0.9	0.5
WV	"west virginia,marshall"	33107	97.4	1.4	0.8	0.4
WV	"west virginia,mason"	27324	97.4	1.6	0.4	0.3
WV	"west virginia,mercer"	62264	91.1	7.5	0.8	0.5
